transactionId,senderBankId,receiverBankId,transactionDateTime,transactionAmount,transactionCurrency
798d8a17-072f-4e80-bedd-f02f740ff1ea,LI03 2049 4BOK DUKP AGVR P,FO97 5326 4611 2682 87,2023-05-17T03:09:29Z,3259,Krona
467661ba-d072-4f70-8a65-49555cf2a480,DK87 2621 6526 2915 50,AD77 0805 2829 W8RE G0JP LGGN,2023-02-19T19:57:30Z,9603,Yuan Renminbi
4430422e-35b0-4121-b714-51b8dd462ead,FR53 4002 4575 412H LU3A 2VJC D95,AE33 7368 8290 4883 4211 570,2023-03-30T01:09:47Z,2075,Rupiah
5876148f-0dda-4d7d-9881-042199b50968,FR47 2073 6141 89ZF TLMY DZRM 074,IT42 C951 1245 827L YHW3 EY0I ZN6,2023-07-05T07:29:10Z,8112,Rupiah
4ccb549b-8739-40b0-b8f4-0858671f8f13,FR38 6259 2180 74CY CFR4 AB8J A85,BG44 RQRG 1174 28BD XY5O XT,2023-08-21T16:10:01Z,9216,Rupiah
006847aa-08c6-4348-96c8-1cf338a2030e,LT29 7834 6004 1024 9873,GT38 QFVF 6ZP7 FAJX YYTG 8AMN YWEA,2023-08-24T01:22:31Z,9633,Real
2b4150f0-7256-48d7-bac4-298efd129337,FR89 9314 8103 26KD J2MM V6IV S53,GI36 MGYS SXOT BTBS ZAAW 7HM,2023-07-07T18:22:31Z,6185,Yuan Renminbi
e8c5cc1a-857a-45b8-aa11-ff4c81113406,RS74 1977 5352 5487 9439 71,FI84 1333 0150 7745 84,2023-08-12T06:11:47Z,5142,Ruble
6e1eed06-29fb-42c3-b171-ef2f822498df,PK76 YTBN TVIG U7OS DPQD FROE,FR72 9713 6380 56XM SUQ2 TDDQ Z11,2023-02-05T10:22:26Z,6225,Baht
dd2d72ec-7949-43c5-a6a0-faed9e0384d1,FR86 6242 1237 04QK YQN5 HS9Z H90,ES38 2522 3117 9758 2430 4420,2023-02-25T12:29:05Z,1802,Rupiah
948c4c37-109d-4c8e-b285-e5b194e48cd9,ME16 6127 8385 6520 6817 52,TN15 5877 7531 1294 2675 2330,2023-01-17T10:28:52Z,9657,Ruble
78c6df97-592d-48ea-9469-ef3bbe885d11,FR07 4309 1582 77WV MYCE GANW U73,FR52 0634 9219 5600 8DNA KBKS G19,2023-05-06T14:08:32Z,1972,Cordoba
0cb6e0ac-8c17-46dd-9c62-7f4577c99b0b,MR63 2971 3552 6367 3043 3145 981,RO93 FSBB CJU1 DDKS UHMO 7YLC,2023-03-06T20:49:25Z,9157,Kuna
f784f666-23bf-42e1-91e8-005e852a2ed7,PL72 1125 0297 5244 2953 0381 9753,TN41 1230 0012 6726 2048 3045,2023-10-22T23:05:42Z,195,Peso
121f982f-c84a-4781-aad2-b33ea0f2f0c6,MT98 NHMJ 7243 5EM6 PJAU YJY2 GU4Z Q88,NO35 5713 8592 139,2023-10-22T17:03:55Z,2719,Lempira
8d877bdc-be2e-48ed-92b5-bb0a8aa8c4cb,KZ39 550N SKFY 74BU 6V61,NO49 1157 4143 530,2023-01-15T09:32:17Z,4380,Yuan Renminbi
267b5351-cfd9-4a0b-a88f-063d5cd8983a,BG95 QAEC 4645 53AA RTFI WE,BG33 PSIF 2542 08DY 8TNL TT,2023-08-12T21:43:12Z,6392,Ruble
fe793270-b5da-4f60-b5c5-397ed262e6b3,FR84 5175 6966 63WT HFSN T1VF B91,FR30 3327 4373 62QN 95JA G262 H81,2023-09-09T22:26:59Z,201,Euro
768892c7-d84b-45b9-b68e-9f75b2685940,GT10 ERJG GOX2 9MLG SJII XRH3 MB5G,FR78 6446 4122 15HH 3HKL VV4E T36,2023-04-27T06:21:28Z,37,Franc
